id,category,title,url,min_price,main_price,old_price,discount_rate,currency,storage,seller_count,star_rating,eval_count,review_count,recommend_rate,purchase_count,view_count,brand,pickup_days,delivery_days,seller,image_url,image_count,video_url,parse_date,region
12756236,Унитазы/SANITA LUXE,Унитаз с бачком напольный SANITA LUXE Best с горизонтальным выпуском,https://pokupki.market.yandex.ru/product/unitaz-s-bachkom-napolnyi-sanita-luxe-best-s-gorizontalnym-vypuskom/12756236?show-uid=16122160632204903137706001&offerid=3Eq-t0NzgVw2hCyD94Q9wg&lr=35&lr=35,6032,6032,7092,15,RUB,Склад  Яндекс.Маркет ,1,,,10,,0,886,SANITA LUXE,,2,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/195452/img_id6013072874808342838/orig,2,,02-02-2021 00:48:16,Краснодар
14226254,"Раковины, пьедесталы/SANITA LUXE",Раковина 60.9 см SANITA LUXE QUADRO 60,https://pokupki.market.yandex.ru/product/rakovina-60-9-sm-sanita-luxe-quadro-60/14226254?show-uid=16122160632204903137706002&offerid=sGMH_dW8GbbGhFlUvJY34g&lr=35&lr=35,2047,2047,2671,23,RUB,Склад  Яндекс.Маркет ,1,,,3,100%,0,447,SANITA LUXE,1,1,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/195452/img_id5093334315033018334/orig,1,,02-02-2021 00:48:47,Краснодар
12756246,Унитазы/SANITA LUXE,Унитаз с бачком напольный SANITA LUXE Infinity,https://pokupki.market.yandex.ru/product/unitaz-s-bachkom-napolnyi-sanita-luxe-infinity/12756246?show-uid=16122160632204903137706003&offerid=a2xExA3uUFx7rqLv2k01iw&lr=35&lr=35,11267,11267,12600,11,RUB,Склад  Яндекс.Маркет ,1,"5,0",14,2,100%,0,547,SANITA LUXE,1,1,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/1522540/img_id587087208682086434/orig,2,,02-02-2021 00:49:14,Краснодар
100761584729,"Раковины, пьедесталы/SANITA LUXE",Раковина 53 см SANITA LUXE RINGO 53,https://pokupki.market.yandex.ru/product/rakovina-53-sm-sanita-luxe-ringo-53/100761584729?show-uid=16122160632204903137706004&offerid=Soi19Tb6tthzwU-nr4_QSg&lr=35&lr=35,3124,3124,3546,12,RUB,Склад  Яндекс.Маркет ,1,"5,0",36,9,89%,105,0,SANITA LUXE,1,1,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/1923211/img_id2053224316622394988.jpeg/orig,2,,02-02-2021 00:50:17,Краснодар
