id,category,title,url,min_price,main_price,old_price,discount_rate,currency,storage,seller_count,star_rating,eval_count,review_count,recommend_rate,purchase_count,view_count,brand,pickup_days,delivery_days,seller,image_url,image_count,video_url,parse_date,region
12756237,Унитазы/SANITA LUXE,Унитаз с бачком напольный SANITA LUXE Art (с микролифтом),https://pokupki.market.yandex.ru/product/unitaz-s-bachkom-napolnyi-sanita-luxe-art-s-mikroliftom/12756237?show-uid=16113510954427974976706001&offerid=3nCpfiY9MSfJ6hjczf8FXQ&lr=65&lr=65,6592,6592,7629,14,RUB,Склад  Яндекс.Маркет ,1,"4,5",50,6,83%,35,0,SANITA LUXE,9,8,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/195452/img_id8846580384332427914/orig,2,,23-01-2021 00:32:16,Новосибирск
12756240,Унитазы/SANITA LUXE,Унитаз с бачком напольный SANITA LUXE Next (дюропласт) с косым выпуском,https://pokupki.market.yandex.ru/product/unitaz-s-bachkom-napolnyi-sanita-luxe-next-diuroplast-s-kosym-vypuskom/12756240?show-uid=16113510954427974976706002&offerid=qmFZBlfssBMNO6aP5HEBvw&lr=65&lr=65,5695,5695,6917,18,RUB,Склад  Яндекс.Маркет ,1,,,10,,0,980,SANITA LUXE,,8,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/96484/img_id7795395609152613746/orig,2,,23-01-2021 00:32:45,Новосибирск
12756243,Унитазы/SANITA LUXE,Унитаз с бачком напольный SANITA LUXE Best Black с горизонтальным выпуском,https://pokupki.market.yandex.ru/product/unitaz-s-bachkom-napolnyi-sanita-luxe-best-black-s-gorizontalnym-vypuskom/12756243?show-uid=16113510954427974976706003&offerid=Ynsj4GcZzWOnFhFmn93ezQ&lr=65&lr=65,7966,7966,9140,13,RUB,Склад  Яндекс.Маркет ,1,,,3,75%,0,766,SANITA LUXE,,8,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/1866068/img_id6880265752179335354.jpeg/orig,5,,23-01-2021 00:33:17,Новосибирск
14226254,"Раковины, пьедесталы/SANITA LUXE",Раковина 60.9 см SANITA LUXE QUADRO 60,https://pokupki.market.yandex.ru/product/rakovina-60-9-sm-sanita-luxe-quadro-60/14226254?show-uid=16113510954427974976706004&offerid=Z6J2ISTamdZ9ldovk2Ksfg&lr=65&lr=65,2251,2251,2591,13,RUB,Склад  Яндекс.Маркет ,1,"5,0",5,3,100%,0,370,SANITA LUXE,8,6,Яндекс.Маркет,avatars.mds.yandex.net/get-mpic/195452/img_id5093334315033018334/orig,1,,23-01-2021 00:34:28,Новосибирск
